Event Date,Update Date,Event Name,Event Type ID,Campaign ID,Campaign Name,Tool ID,Tool Name,Custom ID,Item ID,Item Name,Delta Quantity,Quantity,Coupon Dollar Amount,Coupon Code,Delta Earnings,Earnings,Delta Sales,Sales,Checkout Site,vertical category,meta category id,meta category name,leaf category name,leaf category id,eBay Checkout Transaction ID,EPN Transaction ID,Status,User Frequency,Traffic Type,Click Timestamp,Landing Page URL,Own Inventory,Non-Commissionable,Non-Commissionable Reason,eBay Plus Item,Item Condition,Item Condition Id
2021-05-27 03:01:38,2021-05-27 03:01:38,Sale,18122,5338164459,chex,10001,Link Generator,1837542q-early_research-fam,184778358729,Milwaukee 0880-20 M18 2 Gallon Wet/Dry Vacuum NEW in the Box,1,1,0.00,,1.0000,1.0000,83.04,83.04,US,Home & Garden,11700,Home & Garden,Vacuum Cleaners,20614,2258854678008,2258854678008,Pending,Other,Desktop,2021-05-27 03:01:15,http://www.ebay.com/,False,False,,False,New,1000
2021-05-27 03:01:38,2021-05-27 03:01:38,Sale,18122,5338164459,chex,10001,Link Generator,1837542q-early_research-fam,184778358729,Milwaukee 0880-20 M18 2 Gallon Wet/Dry Vacuum NEW in the Box,1,1,0.00,,1.0000,1.0000,83.04,83.04,US,Home & Garden,11700,Home & Garden,Vacuum Cleaners,20614,2258855142008,2258855142008,Pending,Other,Desktop,2021-05-27 03:01:15,http://www.ebay.com/,False,False,,False,New,1000
2021-05-26 19:46:38,2021-05-26 19:46:38,Sale,18122,5338164459,chex,10001,Link Generator,1837542q-early_research-fam,164864603164,"Milwaukee 2527-20 M12 FUEL HATCHET 6"" Brushless Cordless Pruning Chain Saw NEW",1,1,0.00,,1.5000,1.5000,124.96,124.96,US,Home & Garden,11700,Home & Garden,Chainsaws,42226,2143869556006,2143869556006,Pending,Other,Desktop,2021-05-26 19:45:05,http://www.ebay.com/,False,False,,False,New,1000
2021-05-26 17:11:02,2021-05-26 17:11:02,Sale,18122,5338164459,chex,10001,Link Generator,1837542q-early_research-fam,142191121293,Electro-Harmonix LESTER-G Deluxe Rotary Speaker Pedal,1,1,0.00,,2.0700,2.0700,172.49,172.49,US,Lifestyle,619,Musical Instruments & Gear,Other Guitar Effects Pedals,22669,1896007307004,1896007307004,Pending,Other,Desktop,2021-05-26 17:01:53,http://www.ebay.com/,False,False,,False,New,1000
2021-05-26 08:12:31,2021-05-26 08:12:31,Sale,18122,5338164459,chex,10001,Link Generator,-extreme_poverty-,353483102158,Bright B22 12W PIR Motion Sensor Lamp Smart Bulb Globe Auto Sensing ON/OFF Light,1,1,0.00,,0.0700,0.0700,5.47,5.47,UK,Home & Garden,11700,"Home, Furniture & DIY",Light Bulbs,20706,1254853339022,1254853339022,Pending,Other,Desktop,2021-05-26 08:10:02,https://cart.ebay.co.uk/,False,False,,False,New,1000
2021-05-26 08:12:31,2021-05-26 08:12:31,Sale,18122,5338164459,chex,10001,Link Generator,-extreme_poverty-,303824557041,1PCS 3W Auto-sensing Clap Control Motion Sensor Light LED Bulbs E27 DO,1,1,0.00,,0.0300,0.0300,2.77,2.77,UK,Home & Garden,11700,"Home, Furniture & DIY",Light Bulbs,20706,1871122036020,1871122036020,Pending,Other,Desktop,2021-05-26 08:10:02,https://cart.ebay.co.uk/,False,False,,False,New,1000
2021-05-25 15:19:48,2021-05-25 15:19:48,Sale,18122,5338164459,chex,10001,Link Generator,-covid-,154188896290,High Speed 4 Port USB HUB 2.0 Multi Splitter Expansion Desktop PC Laptop Adapter,1,1,0.00,,0.0200,0.0200,3.95,3.95,UK,Electronics,58058,Computers/Tablets & Networking,"USB Cables, Hubs & Adapters",44932,2167432211005,2167432211005,Pending,Other,Desktop,2021-05-25 14:46:30,https://pay.ebay.co.uk/rxo?action=view,False,False,,False,New,1000
2021-05-25 14:57:30,2021-05-25 14:57:30,Sale,18122,5338164459,chex,10001,Link Generator,-covid-,264873822289,Exfoliating Body Scrub Gloves Shower Bath Mitt Loofah Skin Massage Sponge Spa UK,1,1,0.00,,0.0400,0.0400,2.29,2.29,UK,Fashion,26395,Health & Beauty,Bath Brushes & Sponges,74990,2766876609016,2766876609016,Pending,Other,Desktop,2021-05-25 14:46:30,https://pay.ebay.co.uk/rxo?action=view,False,False,,False,New,1000
2021-05-25 14:48:36,2021-05-25 14:48:36,Sale,18122,5338164459,chex,10001,Link Generator,-covid-,401573717248,Extension Lead Cable Electric Plug Socket UK Mains Power 1 2 3 4 6 8 10 Gang Way,1,1,0.00,,0.1100,0.1100,8.99,8.99,UK,Electronics,11700,"Home, Furniture & DIY",Power Strips & Surge Protectors,67779,980610508027,980610508027,Pending,Other,Desktop,2021-05-25 14:46:30,https://pay.ebay.co.uk/rxo?action=view,False,False,,False,New,1000
2021-05-25 14:48:34,2021-05-25 14:48:34,Sale,18122,5338164459,chex,10001,Link Generator,-covid-,284157320019,Black Cotton Face Mask Washable Reusable Triple Layer Filter Pocket Nose Wire uk,1,1,0.00,,0.0500,0.0500,2.89,2.89,UK,Fashion,11450,"Clothes, Shoes & Accessories",Masks & Eye Masks,116724,2289428170018,2289428170018,Pending,Other,Desktop,2021-05-25 14:46:30,https://pay.ebay.co.uk/rxo?action=view,False,False,,False,Used,1500
